RowNames,20221031UT,20221101UT,20221109UT,20221121UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.012445605356473,1.002159667991814,1.027194326132841,1.0057397779086539,1.0118848443474455,0.00957908636212105,0.004789543181060525
1_Io,1.1338813049497771,0.0,0.0,1.0393269301245476,1.0866041175371624,0.047277187412614774,0.023638593706307387
2_Europa,1.1556174186149355,0.0,1.1917055358999225,1.0433143805863578,1.1302124450337387,0.06318777970367159,0.031593889851835796
3_Ganymede,1.1593261532707713,1.02347610211626,1.1882252184280038,1.0422528441679972,1.103320079495758,0.07150145255718603,0.03575072627859301
4_Callisto,1.1215722471689447,1.0314214655745118,1.210491725921031,0.0,1.1211618128881626,0.07310570373263944,0.03655285186631972
Moons Avg.,1.142599281001107,1.0274487838453858,1.196807493416319,1.0416313849596341,1.1021217358056115,0.07042541561696787,0.035212707808483935
Moons StdP,0.015551522602857097,0.003972681729125904,0.009779973308027552,0.0016861393689119354,0.0,0.0,0.0
95% Conf,0.007775761301428549,0.002809110190160826,0.005646470222057063,0.0009734930185325317,0.0,0.0,0.0
Observed Transmission,0.8860898323596023,0.9753864949268582,0.8582786553255003,0.9655428901536304,0.0,0.0,0.0
NH3 Abs,0.11391016764039774,0.02461350507314175,0.1417213446744997,0.03445710984636963,0.0,0.0,0.0
Trans Conf,0.00680532661863369,0.0027340634728743336,0.004717943573313585,0.0009345849525936251,0.0,0.0,0.0
